FID,token,names,latitude,longitude,identifier,counts
86,Bavaria,"['Sorviodurum', 'Straubing', 'Штраубинг', '施特劳宾']",48.8867769,12.5964322,http://pleiades.stoa.org/places/118968,1
87,Augsburg,"['Augusta Vindelicum', 'Aelia Augusta', 'Augsburg', 'Augsberg', 'Augsburgo', 'آوغسبورغ', 'Augsbourg', 'Augusta', 'アウクスブルク', 'Άουγκσμπουργκ', 'アウグスブルク', 'Аугсбург', 'আউগ্\u200cসবুর্গ', 'औग्स्बुर्ग', '奥格斯堡', 'Αὐγούστα Οὐινδελικῶν', 'Augusta Vindelicorum']",48.365463,10.894765,http://pleiades.stoa.org/places/118580,1
88,Austria,"['Tragisamus', 'Tragisa', 'Traisen']",48.1869545,15.6331596,http://pleiades.stoa.org/places/118996,4
89,the Lower Hungary,['Cavares'],43.75,4.75,http://pleiades.stoa.org/places/148042,1
90,Hungary,"['Savaria', 'Szombathely', 'Colonia Claudia Savaria', 'Steinamanger', 'Σαουαρία', 'Olad', 'Kámon', 'Sabaria', 'Szombatehly', 'Perint', 'Herény', 'Szentkirály', 'Zanat', 'Gyöngyöshermán', 'Szombatnely', 'ソンバトヘイ', 'Сомбатхей', '松博特海伊']",47.235142,16.62192,http://pleiades.stoa.org/places/197498,2
91,Ragusa,"['Castiglione, Ragusa']",36.950799,14.650095,http://pleiades.stoa.org/places/462144,1
92,Croatia,"['Pharus', 'Stari Grad', 'Φάρος', 'Cittavecchia', 'Стари Град', 'スタリー・グラード', 'Стариград', '斯塔里格勒']",43.184286,16.601041,http://pleiades.stoa.org/places/197433,1
93,Bosnia,['Argentariae Dalmaticae et Pannonicae'],44.5,18.5,http://pleiades.stoa.org/places/209137,1
94,Ister,"['Danuvius', 'Istros', 'Hister', 'Danube', 'Donau', 'Danubius', 'Δάνυβις', 'ὁ Ἴστρος', 'Ἴστρος']",48.02,8.34,http://pleiades.stoa.org/places/226577,1
95,the Ottoman Porte,"['Voludnia', 'Saint-Jean-de-la-Porte']",45.550687,6.125118,http://pleiades.stoa.org/places/167979,1
96,Danube,"['Danuvius', 'Istros', 'Hister', 'Danube', 'Donau', 'Danubius', 'Δάνυβις', 'ὁ Ἴστρος', 'Ἴστρος']",48.02,8.34,http://pleiades.stoa.org/places/226577,2
97,Bulgaria,"['Getae', 'Γέται']",44.5,25.5,http://pleiades.stoa.org/places/216817,1
98,Antonines,"['Villa degli Antonini', 'Villa degli Antonini, Genzano di Roma']",41.6930206,12.6963469,http://pleiades.stoa.org/places/422838,1
99,Rhodope,"['Perperakion, Murgovo']",41.715067,25.476829,http://pleiades.stoa.org/places/501557,1
100,The kingdom of Macedonia,"['Πέλλα', 'Pella', 'Diokletianoupolis', 'Bounomos', 'Bounomeia', 'Pela', 'Αρχαία Πέλλα', 'Пелла', 'Πέλλα', 'Pélla']",40.760033,22.525642,http://pleiades.stoa.org/places/491687,1
101,Asia,['Asia'],?,?,http://pleiades.stoa.org/places/915832,1
102,Epirus,"['Épire', 'Ήπειρος', 'Epirus', 'Epiro', 'Ἤπειρος', 'Ipiros', 'Epirus (Region)', 'Ipeiros']",39.64,20.695,http://sws.geonames.org/6697804,2
103,Thessaly,"['Orthe', 'Φάλαννα', 'Phalanna', 'Damasouli', 'Ορθές']",39.708507,22.193106,http://pleiades.stoa.org/places/540992,2
104,Thebes,"['Thebae', 'Θήβα', 'Thiva, Thíva', 'Thebes', 'Θῆβαι', 'Thebai, Thēbai', 'Thiva', 'Thebai', 'Theben', 'Thēbai', 'Thíva', 'Tebas', 'Θηβαι', 'Θήβαι', 'Thívai', 'Thèbes']",38.319236,23.317355,http://pleiades.stoa.org/places/541138,1
105,Argos,"['Argos', 'Stauros, Nisyros', 'Ἄργος']",36.579408,27.13944,http://pleiades.stoa.org/places/599516,1
106,Sparta,"['Sparta', 'Sparti', 'Σπάρτα', 'ἱερὸν Ἀρτέμιδος Ὀρθίας', 'Spárti', 'Lakedaímon', 'Spartē', 'Lacedaemon', 'Esparta', 'Σπαρτη', 'Lacedemonia', 'Λακεδαιμων', 'Sparte', 'Lakedaimon', 'Σπάρτη']",37.073678,22.430937,http://pleiades.stoa.org/places/570685,2
107,Athens,"['Athenae', 'Athens', 'Αθήνα', 'Athina, Athína', 'Ἀθῆναι', 'Athēnai, Athenai', 'Athen', 'Athína', 'Athènes', 'Αθήνα', 'Athínai', 'Atene', 'Afini', 'Athénes', 'Athinia', 'Athenai', 'Atenas', 'أثينا', 'アテネ', 'Афины', '雅典', 'Αθήναι', 'Αθηνα', 'Αθηναι', 'Ateny', 'Atina', 'Athina', 'Athēnai', 'Athēna']",37.971687,23.726464,http://pleiades.stoa.org/places/579885,12
108,Achaia,['Achaia'],?,?,http://pleiades.stoa.org/places/30202,12
109,Asia Minor,"['Pisidia', 'Πισιδία']",37.25,30.75,http://pleiades.stoa.org/places/639060,1
110,Mount Taurus,"['Taurus mons', 'Taurus M.', 'Taurus', 'Toros', 'Toros Dağları, Toros Daghlari, Toros Daglari', 'Tauros', 'Toros Daǧları', 'Demirkazık Dağı, Toros Dağları', 'Taurus Mons', 'Όρη Ταύρου', 'Taurus Mountains', 'Ταῦρος']",38.25,37.75,http://pleiades.stoa.org/places/648792,1
111,Halys,"['Halys', 'Maraššant(ij)a, Maraššantija, Maraššanta, Marashantiya, Marashanta, Maraššantiya', 'Ḳızıl Irmaḳ, Qizil Irmaq, Kizil Irmak', 'Kizilirmak', 'Halys, Alys', 'Nahr Ālis, Nahr Alis', 'Kizil Irmak', 'Kızılırmak, Kizilirmak, Kızıl Irmak, Kizil Irmak, Kisil Irmak, Kizzel Irmak', 'Ἅλυς', 'Kızılırmak', 'İnallıballı', 'Kâhyalı']",41.6767598,35.9295291,http://pleiades.stoa.org/places/857148,2
112,Troy,"['Ilium', 'Troia', 'Troy', 'Troja', 'Τροία', 'Troía, Troia', 'Hisarlık', 'Ἴλιον,Τροίη']",39.9575,26.238889,http://pleiades.stoa.org/places/550595,1
113,Lydia,"['Lydia', 'Maionia', 'Λυδία', 'ܠܘܕܝܐ']",38.5,28,http://pleiades.stoa.org/places/550701,1
114,Ionia,"['İzmir', 'İzmir Vilâyeti', 'Ionia', 'Ἰωνία', 'Iōnía, Ionia']",38.675,27.395,http://sws.geonames.org/311044,1
115,Bithynia,"['Bithynia', 'Βιθυνία']",40.25,29.25,http://pleiades.stoa.org/places/511189,2
116,the Roman Asia,"['Elaioussa', 'Sebaste', 'Ayaş', 'Ἐλαιοῦσσα', 'Eleusia', 'Ayash']",36.483813,34.174114,http://pleiades.stoa.org/places/648628,1
117,Alexander,"['Περίτας', 'Peritas']",?,?,http://pleiades.stoa.org/places/889966867,1
118,Upper Asia,"['Adiabene', 'Akabene', 'Ἀρτακηνὴ', 'Artakene', 'Ἀδιαβηνή']",35.5,43.5,http://pleiades.stoa.org/places/893935,1
119,the Red Sea,"['Arabicus Sinus', 'Erythraeum', 'Erythrum', 'Rubrum Mare', 'Indike Thalassa', 'Red Sea', 'Ἐρυθρὰ θάλασσα', 'البحر الأخير', 'Khalīj al Qulzum', 'K’ey Bahir', 'Sinus Arabicus', 'Mer Rouge', 'Rotes Meer', 'Aethiopia', 'Rode Zee', 'Mar Rojo', 'Mar Rosso', 'Mare Rubrum', 'Arabikos Kolpos', 'Erythra Thalassa']",19,39.5,http://pleiades.stoa.org/places/39290,4
120,Phoenicia,"['Φοινίκη', 'Phoenice', 'Φοινική']",33.25,35.25,http://pleiades.stoa.org/places/678334,1
121,Palestine,"['Palaestina', 'Παλαιστίνη', 'Filasṭīn', 'ܦܠܫܬ']",31.25,34.75,http://pleiades.stoa.org/places/687995,2
122,Ptolemies,"['Çamlıdere', 'Chamlidere']",37.67134,28.31395,http://pleiades.stoa.org/places/631385926,2
123,Nile,"['Nilus', 'Nile river', 'Nile', 'Neilos', 'an-Nīl, al-Nil, en-Nil, el-Nil', 'Nil', 'Νεῖλος', 'Neilos, Neĩlos', 'النيل', 'Nijl', 'el Nilo', 'Nilo', 'al-Nil', 'Al Baḩr al A‘z̧am', 'Nile River', 'Fayḑ Mişr', 'Nahr el-Nîl', 'El Bahr', 'Bahr en Nīl', 'Nahr an Nīl', 'Nahr an Nil', 'Nin', 'Nili', 'نهر النيل', 'jtr.w', ""'river'"", 'Hapj', 'pA-jtr.w-aA', ""'the great river'"", 'Piaro', 'Phiaro']",29.7497813,31.2705999,http://pleiades.stoa.org/places/727172,5
124,Sahara,['Nigris'],34.5,5.5,http://pleiades.stoa.org/places/334602,1
125,the republic of Carthage,"['დიდი ლიახვი', 'Didi Liakhvi', 'Greater Liakhvi River', 'Стыр Леуахи', 'Styr Lewakhi', ' Большая Лиахви', ""Bol’shaya Liakhvi, Bol'shai͡a Liakhvi, Bol’shaya Lyakhva, Bol’shiye Liakhvi, Bolshoi Liakhvi, Bolshoĭ Liakhvi""]",42.33304465,43.9192384,http://pleiades.stoa.org/places/978527351,1
126,Tripoli,"['Oea', 'Macar Oea', 'Oeenses', 'Tripoli', 'Ἐῶα', 'Ocea colonia', 'Osa col.', 'Ţarābulus', 'Aea', 'Ţarābulus al Gharb', 'Ea', 'Taràbles', 'Tarabulus el Gharb', 'Trípoli', 'Tripolis', 'Τρίπολη', 'طَرَابُلُس', 'Триполи', 'ताराबूलस', 'طرابلس', 'トリポリ', 'ত্রিপোলি', 'ਤਰਾਬਲਸ', '的黎波里', 'Tarables', 'Tarabulus', 'Tarabulus al Gharb', 'Tripoly', 'Trypolis', 'Trablus']",32.897586,13.175266,http://pleiades.stoa.org/places/344456,1
127,Tunis,"['Τύνης', 'Tunes, Týnēs', 'Tunis', 'Tunes', 'Tunis-Ville', 'Tunisi', 'Tunez', 'Túnez', 'تونس', 'チュニス', 'Тунис', '突尼斯', 'Τύνιδα', '突尼斯市', 'ट्यूनिस', 'ਤੂਨਿਸ', 'Tunus']",36.79923,10.171649,http://pleiades.stoa.org/places/315233,1
128,Algiers,"['Icosium', 'الجزائر', 'al-Jazā’ir', ""Madīnat al-Dschazā'ir (Alger)"", 'Alger', 'Argel', 'Algier', 'Al-jezair', 'Algeri', 'Al Jazair', 'Algiers', 'アルジェ', 'Алжир', 'Αλγέρι', 'ਅਲ-ਜਜ਼ਾਇਰ', 'আলজিয়ার্স', '阿爾及爾', 'अल्जीयर्स', 'Algeria', 'ولاية الجزائر', 'Cezayir']",36.7718,3.056709,http://pleiades.stoa.org/places/295276,1
129,Numidia,['Numidia'],36.25,6.25,http://pleiades.stoa.org/places/305120,2
130,Massinissa,"['Abrotonum', 'Sabratha', 'Ἀβρότονον', 'Abrotonon', 'Abrotunum', 'Habrotunum', 'Sabrata', 'Siburata', 'Ἀλάθρα', 'Σάβραθα', 'Σαράθρα', 'صبراتة', 'Marsa Sabrata', 'Marsa Sabràtha', 'Сабрафа']",32.805896,12.484959,http://pleiades.stoa.org/places/344282,1
131,Mauritania,"['Mauritania Perosis', 'Mauritania Salinarum']",?,?,http://pleiades.stoa.org/places/278623,1
